sell_form_id,sell_form_title,sell_form_cat,sell_form_type,sell_form_res_type,sell_form_def_value,sell_form_opt,sell_form_pos,sell_form_length,sell_min_value,sell_max_value,sell_form_desc,sell_form_opts_values,sell_form_field_desc,sell_form_param_id,sell_form_param_values,sell_form_parent_id,sell_form_parent_value,sell_form_unit,sell_form_options
1,Nazwa przedmiotu,0,1,1,0,1,0,50,0.00,0.00,,,"Tytuł powinien być zwięzły i bezpośrednio wskazywać, co masz do zaoferowania. W tytule możesz użyć maksymalnie 50 znaków.<hr><u>Tworząc tytuł skorzystaj z kilku porad.</u><ul><li>Używaj w tytule nazwy sprzedawanego przedmiotu.<li>Używaj słów, które określają lepiej to, co sprzedajesz - podaj markę produktu, autora (np. w przypadku książki).<li>Zrezygnuj ze słów typu ""polecam"", ""zobacz koniecznie!"" itp..<li>Nie trać miejsca na niepotrzebne znaki,  jak umieszczane w tytule symbole "">"", ""@"", cudzysłów itp..</ul>
Jeśli skorzystasz z powyższych zaleceń, Kupujący będzie mógł łatwo odnaleźć Twój przedmiot
przez wyszukiwarkę (Użytkownicy szukają konkretnych przedmiotów lub grup przedmiotów (np. poprzez nazwę marki) - nikt nie będzie szukał wyrażeń ""rewelacyjna rzecz"", czy ""zobacz to!"".).<hr>
Tytuł jest ograniczony do 50 znaków - w formularzu sprzedaży jest licznik, który pomoże Ci w ułożeniu krótkiego
i zarazem treściwego tytułu. Z przyczyn technicznych niektóre litery/symbole są liczone jako więcej
niż 1 znak.<br>Poniżej lista symboli i liter, które są liczone jako więcej  niż 1 znak.<br><br><table cellpadding=""4"" cellspacing=""2"" border=""0"" width=""400"" bgcolor=""#d2d2d2""><tr bgcolor=""#eeeeee""><td><p><b>Symbol/litera</b></p></td><td><p><b>Liczba znaków</b></p></td><tr><td bgcolor=""#ffffff"">""</td><td bgcolor=""#ffffff"">6 znaków</td></tr><tr><td bgcolor=""#ffffff""><</td><td bgcolor=""#ffffff"">4 znaki</td></tr><tr><td bgcolor=""#ffffff"">></td><td bgcolor=""#ffffff"">4 znaki</td></tr><tr><td bgcolor=""#ffffff"">&</td><td bgcolor=""#ffffff"">5 znaków</td></tr></table><br>",0,,0,,,0
2,Kategoria,0,2,2,0,1,2,500,1.00,0.00,,,Dokładnie określ kategorię przedmiotu,0,,0,,,0
3,Data rozpoczęcia,0,9,9,0,8,3,11,0.00,0.00,,,"Samodzielne planowanie terminu rozpoczęcia aukcji przydaje się zwłaszcza przy zarządzaniu dużą liczbą aukcji.Możesz wystawić wiele aukcji, które zakończą się w tym samym czasie.<br>
Planowane wystawianie jest także przydatne w sytuacjach, gdy wiesz, że chwilowo nie będziesz mieć dostępu do Internetu (wakacyjne wyjazdy itp.).<hr>
Wszystkie aukcje planowane (a więc nie rozpoczynające się zaraz po wystawieniu) znajdą się na liście aukcji planowanych do wystawienia (strona <i>Moje AllegroApi > Aukcje > Do wystawienia</i>)<br>Na tej stronie możesz dokonać zmian w danych aukcji bądź usunąć aukcję z listy oczekujących (link <i>Zmiany</i> przy nazwie aukcji).<hr>Planowane wystawienie jest płatne i kosztuje <b>0,05 zł</b> (opłata jest bezzwrotna). Opłaty są naliczane w momencie <b>rozpoczęcia aukcji</b>!.<hr><br><font color=red><b>Uwaga:</b></font> opłata za planowane wystawienie (0,05 zł) zostanie pobrana również wtedy, gdy usuniesz aukcję z listy planowanych do wystawienia.<br>Możesz zaplanować wystawienie maksimum <b>1000 aukcji</b> na maksymalnie <b>30 dni</b> przed rozpoczęciem aukcji.",0,,0,,,0
4,Czas trwania,0,4,2,2,1,0,2,0.00,99.00,3|5|7|10|14|30|Do wyczerpania,0|1|2|3|4|5|99,"""Przy wystawieniu na 14 dni - pobierana jest opłata 0,20 zł, przy wystawieniu ""do wyczerpania"" opłaty pobierane cyklicznie""",0,,0,,,0
5,Liczba sztuk,0,2,2,1,1,5,9,1.00,1000.00,,,"W AllegroApi możesz sprzedawać przedmioty poprzez licytację lub po stałej cenie (wybierając <u>tylko opcję ""Kup Teraz!""</u>). <br>W tym drugim przypadku - ustalasz stałą cenę - Kupujący znają cenę przedmiotu i mogą go kupić natychmiast bez licytowania. <br>
W przypadku <u>licytacji</u> - nie znasz ostatecznej ceny, jaką osiągnie przedmiot. Kupujący składają oferty i przebijają stawki innych osób przy pomocy systemu automatycznej licytacji aż do końca trwania aukcji. <br>Kiedy wybierzesz <u>licytację z opcją ""Kup teraz!""</u> - kupujacy mogą licytować lub kupić przedmiot natychmiast po stałej cenie.<br>
Zarówno aukcja (z licytacją) jak i ""Kup Teraz!"" mogą być jedno lub wieloprzedmiotowe. W aukcji wieloprzedmiotowej może być wielu zwycięzców.<hr>
Opłata za wystawienie jest obliczana na podstawie tzw. wartości początkowej.
W typowej aukcji wartość początkowa to po prostu cena wywoławcza.<br>Wartość początkowa to:<br>a) w aukcjach: cena wywoławcza lub minimalna pomnożona przez liczbę sztuk,<br>b) w Kup Teraz! bez licytacji: cena Kup Teraz! pomnożona przez liczbę sztuk.<br>Definicje dla wszystkich
formatów sprzedaży w znajdziesz poniżej.<br><table cellpadding=""4"" border=""0"" bgcolor=#d2d2d2><tr bgcolor=#eeeeee><td align=""center""><p><b>Jeśli format sprzedaży to...</p></td><td align=""center""><p><b>Wartość początkową stanowi...</b></p></td></tr><tr bgcolor=#ffffff><td valign=""top""><p>aukcja jednoprzedmiotowa bez ceny minimalnej</p></td><td valign=""top""><p>cena wywoławcza</p></td></tr><tr bgcolor=#ffffff><td valign=""top""><p>aukcja jednoprzedmiotowa bez ceny minimalnej z opcją Kup Teraz!</p></td><td valign=""top""><p>cena wywoławcza</p></td></tr><tr bgcolor=#ffffff><td valign=""top""><p>aukcja jednoprzedmiotowa z ceną minimalną</p></td><td valign=""top""><p>cena minimalna</p></td></tr><tr bgcolor=#ffffff><td valign=""top""><p>aukcja jednoprzedmiotowa z ceną minimalną z opcją Kup Teraz!</p></td><td valign=""top""><p>cena minimalna</p></td></tr><tr bgcolor=#ffffff><td valign=""top""><p>aukcja wieloprzedmiotowa (licytacja)</p></td><td valign=""top""><p>cena wywoławcza pomnożona przez liczbę sztuk</p></td></tr><tr bgcolor=#ffffff><td valign=""top""><p>tylko Kup Teraz! (jedna sztuka)</p></td><td valign=""top""><p>cena Kup Teraz!</p></td></tr><tr bgcolor=#ffffff><td valign=""top""><p>tylko Kup Teraz! (kilka sztuk)</p></td><td valign=""top""><p>cena  Kup Teraz! pomnożona  przez liczbę sztuk</p></td></tr></table><hr>
Pełen cennik opłat znajduje się na stronie: <font color=blue><u>http://www.allegro.pl/country_pages/1/0/z4.php</u></font><br>",0,,0,,,0
6,Cena wywoławcza,0,3,3,0,8,6,13,0.00,0.00,,,"Cena, od której rozpocznie się licytacja. Najniższa cena wywoławcza to <b>1 zł</b>.",0,,0,,,0
7,Cena minimalna,0,3,3,0,8,7,13,0.00,0.00,,,"Cena minimalna, która występuje w niektórych aukcjach, to najniższa kwota, za jaką Sprzedający zgadza się sprzedać wystawiony przedmiot. Wysokość ceny minimalnej jest ukryta do momentu jej przekroczenia przez Kupujących.<hr>
Jeśli widzisz napis <i>cena minimalna nie została osiągnięta</i>: oznacza to, że na aukcji nie złożono ofert kupna lub wysokość złożonych ofert nie przekroczyła ustalonej przez Sprzedającego ceny minimalnej. Żadna ze złożonych dotychczas ofert nie jest wiążąca.<hr>
Jeśli widzisz napis <i>cena minimalna została osiągnięta</i>: oznacza to, że wysokość co najmniej jednej ze złożonych ofert kupna jest równa lub wyższa od ustalonej ceny minimalnej. Od tego momentu wszystkie kolejne oferty są wiążące.<hr>
Jeśli kwota, którą wpiszesz do okna licytacji jest równa bądź wyższa od ceny minimalnej, system automatycznie podniesie Twoją ofertę do poziomu ceny minimalnej.<hr>
Jeśli <b>po zakończeniu aukcji</b> cena minimalna nie zostanie osiągnięta, żadna ze stron nie jest zobowiązana do finalizowania transakcji (aukcja jest uznawana za nierozstrzygniętą). W takiej sytuacji nie ma możliwości wystawienia komentarzy i skorzystania z innych usług, które AllegroApi proponuje do aukcji zakończonych sukcesem.<hr>
Opłata za cenę minimalną jest zwracana, jeśli uda się sprzedać przedmiot.",0,,0,,,0
8,"Cena ""Kup Teraz!""",0,3,3,0,8,8,13,0.00,0.00,,,"Opcja <font color=green>Kup Teraz!</font> umożliwia sprzedaż przedmiotu bez licytacji za stałą cenę. Najniższa cena <font color=green>Kup Teraz!</font> to <b>1 zł</b>.<hr>
W przypadku wyboru sprzedaży przez licytację (a więc gdy cena wywoławcza jest ustawiona) opcja ta jest płatna i wynosi <b>0,50 zł</b>. Opłata ta <u>nie podlega</u> zwrotowi.<hr>
Jeśli chcesz sprzedać swój przedmiot szybko i za określoną przez siebie cenę, w formularzu sprzedaży podaj cenę <font color=green>Kup Teraz!</font>
Cena <font color=green>Kup Teraz!</font> to stała cena, za jaką zgadzasz się sprzedać przedmiot od razu - bez licytacji.<hr>
Dzięki <font color=green>Kup Teraz!</font> zainteresowani mogą szybko kupić Twój przedmiot - wiele osób nie ma czasu, by śledzić tradycyjną licytację, chcą także mieć pewność, że kupią Twój przedmiot. Dzięki opcji <font color=green>Kup Teraz!</font> zyskujesz:<UL><li>Natychmiastową sprzedaż przedmiotu bez konieczności czekania na zakończenie aukcji w normalnym terminie.<li>Szybki i prosty sposób na sprzedaż swojego przedmiotu.<li>Sprzedaż przedmiotu za zadowalającą i znaną cenę.<li>Twoja aukcja będzie wyróżniona napisem <font color=green>Kup Teraz!</font></ul><hr>
Sprzedający może ustalić ograniczenie w korzystaniu z <font color=green>Kup Teraz!</font> dla nowych Użytkowników, którzy <u>nie dokonali pełnej aktywacji konta</u>.<hr><b><font color=red>Uwaga!</font></b>: Opcja <font color=green>Kup Teraz!</font> znika:<br>
a) jeśli złożono <u>pierwszą ofertę</u>,<br>
b) w aukcji z <u>ceną minimalną</u>, kiedy cena minimalna <u>zostanie osiągnięta</u>.<br>",0,,0,,,0
9,Kraj,0,2,2,0,1,9,50,0.00,0.00,,,Wybierz z listy kraj,0,,0,,,0
10,Województwo,0,4,2,0,8,10,2,0.00,16.00, -- Wybierz województwo -- |dolnośląskie|kujawsko-pomorskie|lubelskie|lubuskie|łódzkie|małopolskie|mazowieckie|opolskie|podkarpackie|podlaskie|pomorskie|śląskie|świętokrzyskie|warmińsko-mazurskie|wielkopolskie|zachodniopomorskie,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16,Wybierz z listy województwo,0,,0,,,0
